iter	Passed	Remaining
831	941	190
832	942	189
833	943	187
834	944	186
835	945	185
836	946	184
837	947	183
838	948	181
839	949	180
840	949	179
841	950	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	959	168
851	960	166
852	961	165
853	962	164
854	963	163
855	964	162
856	965	161
857	966	159
858	967	158
859	968	157
860	969	156
861	970	155
862	971	154
863	972	153
864	973	151
865	974	150
866	975	149
867	976	148
868	976	147
869	977	146
870	978	144
871	979	143
872	980	142
873	981	141
874	982	140
875	983	139
876	984	138
877	985	136
878	986	135
879	987	134
880	989	133
881	990	132
882	991	131
883	992	130
884	993	129
885	994	128
886	996	126
887	997	125
888	998	124
889	999	123
890	1000	122
891	1001	121
892	1002	120
893	1003	118
894	1004	117
895	1005	116
896	1006	115
897	1007	114
898	1008	113
899	1008	112
900	1009	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1015	104
907	1016	102
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1023	95
915	1024	93
916	1024	92
917	1025	91
918	1026	90
919	1028	89
920	1029	88
921	1030	87
922	1031	86
923	1032	84
924	1032	83
925	1033	82
926	1034	81
927	1035	80
928	1036	79
929	1037	78
930	1038	76
931	1039	75
932	1039	74
933	1040	73
934	1041	72
935	1042	71
936	1043	70
937	1044	69
938	1045	67
939	1045	66
940	1046	65
941	1047	64
942	1048	63
943	1049	62
944	1050	61
945	1051	60
946	1052	58
947	1053	57
948	1054	56
949	1054	55
950	1055	54
951	1057	53
952	1058	52
953	1059	51
954	1060	49
955	1060	48
956	1061	47
957	1062	46
958	1063	45
959	1064	44
960	1065	43
961	1066	42
962	1067	41
963	1068	39
964	1068	38
965	1069	37
966	1070	36
967	1071	35
968	1072	34
969	1073	33
970	1074	32
971	1075	30
972	1075	29
973	1076	28
974	1077	27
975	1078	26
976	1079	25
977	1080	24
978	1081	23
979	1082	22
980	1083	20
981	1084	19
982	1085	18
983	1086	17
984	1087	16
985	1087	15
986	1088	14
987	1089	13
988	1090	12
989	1091	11
990	1092	9
991	1093	8
992	1094	7
993	1095	6
994	1096	5
995	1096	4
996	1097	3
997	1098	2
998	1099	1
999	1100	0
